"source_csv_column","source_variable","json_path","option_value","option_label","binary_csv_column","selected_value","not_selected_value"
"arbovirus_2025","arbovirus_2025","payload.arbovirus_2025","zika","Zika","arbovirus_2025_sel_zika","1","0"
"arbovirus_2025","arbovirus_2025","payload.arbovirus_2025","chikungunya","Chikungunya","arbovirus_2025_sel_chikungunya","1","0"
"arbovirus_2025","arbovirus_2025","payload.arbovirus_2025","ninguno","Ninguno","arbovirus_2025_sel_ninguno","1","0"
"arbovirus_2025","arbovirus_2025","payload.arbovirus_2025","desconozco","Desconozco","arbovirus_2025_sel_desconozco","1","0"
"plan_aedes_caracteristicas","plan_aedes_caracteristicas","payload.plan_aedes_caracteristicas","nombre","Nombre","plan_aedes_caracteristicas_sel_nombre","1","0"
"plan_aedes_caracteristicas","plan_aedes_caracteristicas","payload.plan_aedes_caracteristicas","anio_actualizacion","Último año de actualización","plan_aedes_caracteristicas_sel_anio_actualizacion","1","0"
"plan_aedes_caracteristicas","plan_aedes_caracteristicas","payload.plan_aedes_caracteristicas","documento","Documento del plan","plan_aedes_caracteristicas_sel_documento","1","0"
"plan_aedes_caracteristicas","plan_aedes_caracteristicas","payload.plan_aedes_caracteristicas","desconozco","Desconozco","plan_aedes_caracteristicas_sel_desconozco","1","0"
"plan_anopheles_caracteristicas","plan_anopheles_caracteristicas","payload.plan_anopheles_caracteristicas","nombre","Nombre","plan_anopheles_caracteristicas_sel_nombre","1","0"
"plan_anopheles_caracteristicas","plan_anopheles_caracteristicas","payload.plan_anopheles_caracteristicas","anio_actualizacion","Último año de actualización","plan_anopheles_caracteristicas_sel_anio_actualizacion","1","0"
"plan_anopheles_caracteristicas","plan_anopheles_caracteristicas","payload.plan_anopheles_caracteristicas","documento","Documento del plan","plan_anopheles_caracteristicas_sel_documento","1","0"
"plan_anopheles_caracteristicas","plan_anopheles_caracteristicas","payload.plan_anopheles_caracteristicas","desconozco","Desconozco","plan_anopheles_caracteristicas_sel_desconozco","1","0"
"plan_integrado_caracteristicas","plan_integrado_caracteristicas","payload.plan_integrado_caracteristicas","nombre","Nombre","plan_integrado_caracteristicas_sel_nombre","1","0"
"plan_integrado_caracteristicas","plan_integrado_caracteristicas","payload.plan_integrado_caracteristicas","anio_actualizacion","Último año de actualización","plan_integrado_caracteristicas_sel_anio_actualizacion","1","0"
"plan_integrado_caracteristicas","plan_integrado_caracteristicas","payload.plan_integrado_caracteristicas","documento","Documento del plan","plan_integrado_caracteristicas_sel_documento","1","0"
"plan_integrado_caracteristicas","plan_integrado_caracteristicas","payload.plan_integrado_caracteristicas","desconozco","Desconozco","plan_integrado_caracteristicas_sel_desconozco","1","0"
"factores_prioridad","factores_prioridad","payload.factores_prioridad","casos","Casos reportados / carga de enfermedad","factores_prioridad_sel_casos","1","0"
"factores_prioridad","factores_prioridad","payload.factores_prioridad","autoridades","Opinión o presión de autoridades superiores","factores_prioridad_sel_autoridades","1","0"
"factores_prioridad","factores_prioridad","payload.factores_prioridad","cooperacion","Requisitos de cooperación internacional","factores_prioridad_sel_cooperacion","1","0"
"factores_prioridad","factores_prioridad","payload.factores_prioridad","costos","Costos operativos de la vigilancia y control","factores_prioridad_sel_costos","1","0"
"factores_prioridad","factores_prioridad","payload.factores_prioridad","comunidad","Interés de la comunidad","factores_prioridad_sel_comunidad","1","0"
"factores_prioridad","factores_prioridad","payload.factores_prioridad","experiencias","Experiencias pasadas","factores_prioridad_sel_experiencias","1","0"
"factores_prioridad","factores_prioridad","payload.factores_prioridad","otros","Otros","factores_prioridad_sel_otros","1","0"
"factores_prioridad","factores_prioridad","payload.factores_prioridad","desconozco","Desconozco","factores_prioridad_sel_desconozco","1","0"
"motivadores_institucion","motivadores_institucion","payload.motivadores_institucion","recursos","Disponibilidad de recursos sostenibles","motivadores_institucion_sel_recursos","1","0"
"motivadores_institucion","motivadores_institucion","payload.motivadores_institucion","apoyo_politico","Presión o apoyo político de alto nivel","motivadores_institucion_sel_apoyo_politico","1","0"
"motivadores_institucion","motivadores_institucion","payload.motivadores_institucion","exitos","Éxitos visibles en territorio","motivadores_institucion_sel_exitos","1","0"
"motivadores_institucion","motivadores_institucion","payload.motivadores_institucion","indicadores","Mejora de los indicadores de salud","motivadores_institucion_sel_indicadores","1","0"
"motivadores_institucion","motivadores_institucion","payload.motivadores_institucion","participacion","Mayor participación comunitaria","motivadores_institucion_sel_participacion","1","0"
"motivadores_institucion","motivadores_institucion","payload.motivadores_institucion","alianzas","Alianzas con cooperación o sector privado","motivadores_institucion_sel_alianzas","1","0"
"motivadores_institucion","motivadores_institucion","payload.motivadores_institucion","no_sabria","No sabría decir qué puede motivar a mi institución","motivadores_institucion_sel_no_sabria","1","0"
"motivadores_institucion","motivadores_institucion","payload.motivadores_institucion","otras","Otras","motivadores_institucion_sel_otras","1","0"
"motivadores_institucion","motivadores_institucion","payload.motivadores_institucion","desconozco","Desconozco","motivadores_institucion_sel_desconozco","1","0"
